word,evaluate
abase,483
abate,467
aback,450
abbey,419
adage,417
amass,416
abled,415
ahead,413
abode,402
abide,401
arena,396
award,391
aware,391
abyss,390
apnea,388
assay,387
adapt,386
abbot,386
array,382
abuse,379
adobe,379
agate,378
aorta,378
amaze,378
acrid,377
aroma,377
alarm,375
again,372
algae,368
awake,368
above,367
abort,367
await,366
avian,364
altar,364
abhor,363
agape,362
awash,362
adore,360
apart,360
avail,358
amber,358
axial,354
aider,352
allay,349
acorn,347
agree,346
about,345
asset,343
aside,340
adorn,338
acute,336
actor,335
ashen,333
admin,332
arose,332
amiss,332
arise,331
arbor,330
alpha,329
alien,327
amend,327
anode,326
admit,325
amble,325
adept,319
ardor,317
alter,317
alibi,315
aisle,314
cabal,311
ascot,311
cacao,310
avoid,309
anger,309
atone,308
after,308
arson,307
anime,307
alone,306
basal,306
salad,305
askew,305
afire,305
radar,304
adopt,303
amuse,303
alert,302
alley,302
audio,301
annex,300
carat,300
armor,300
antic,298
attic,295
aphid,295
adult,295
aloud,293
drama,293
audit,293
angel,292
avert,292
alike,291
agile,291
madam,290
banal,290
arrow,290
album,290
salsa,288
apron,287
azure,286
agent,285
alive,285
awoke,285
artsy,284
tiara,283
axion,283
scare,282
axiom,282
ankle,281
canal,277
argue,277
afoot,276
angle,276
ample,275
mania,275
amity,275
nasal,274
bread,273
annoy,273
beard,273
basis,271
macaw,271
brass,271
sauna,270
aloof,270
allot,269
among,269
atoll,268
scale,267
karma,267
brace,267
scald,267
alloy,266
align,266
angst,266
agony,266
ocean,265
along,264
cease,264
mamma,263
braid,262
scram,262
apple,261
pasta,261
debar,261
anvil,259
aloft,259
angry,259
koala,259
mafia,259
dread,259
scuba,258
baler,258
crass,258
broad,257
allow,257
llama,257
cadet,256
racer,256
natal,256
rabid,256
aging,255
board,255
larva,255
rarer,254
aping,254
erase,253
aunty,253
kebab,253
rabbi,253
basic,252
parka,252
rebar,251
blade,251
gamma,250
baker,250
annul,250
easel,250
