word,green_color_num,yellow_color_num,good_word_prob
aurei,817,3082,0.9510822510822511
uraei,936,2963,0.9510822510822511
auloi,580,2747,0.932034632034632
aloes,937,2959,0.9303030303030303
adieu,745,2688,0.9303030303030303
aiery,1032,2827,0.9298701298701298
ayrie,906,2953,0.9298701298701298
reais,848,3212,0.9277056277056277
aesir,831,3229,0.9277056277056277
arise,1267,2793,0.9277056277056277
serai,942,3118,0.9277056277056277
raise,1270,2790,0.9277056277056277
ourie,970,2695,0.9255411255411256
raile,1261,2827,0.9251082251082251
ariel,1146,2942,0.9251082251082251
toeas,804,3115,0.9242424242424242
stoae,1270,2649,0.9242424242424242
realo,874,3241,0.9238095238095239
aeons,842,2957,0.922943722943723
haole,1201,2455,0.9225108225108225
alone,1188,2639,0.9216450216450216
anole,1055,2772,0.9216450216450216
osier,853,2973,0.9216450216450216
louie,1113,2361,0.9216450216450216
soare,1525,2562,0.9212121212121213
arose,1244,2843,0.9212121212121213
aeros,712,3375,0.9212121212121213
oiler,884,2970,0.9194805194805195
oriel,1047,2807,0.9194805194805195
reoil,903,2951,0.9194805194805195
audio,616,2436,0.9186147186147187
solei,1086,2549,0.9181818181818182
coate,1348,2400,0.9177489177489178
ariot,1058,2672,0.9177489177489178
ratio,737,2993,0.9177489177489178
atone,1065,2785,0.9173160173160173
oaten,904,2946,0.9173160173160173
terai,726,3385,0.9164502164502164
retia,679,3432,0.9164502164502164
irate,1171,2940,0.9164502164502164
oater,986,3152,0.9160173160173161
roate,1256,2882,0.9160173160173161
orate,1178,2960,0.9160173160173161
roate,1256,2882,0.9160173160173161
telia,723,3197,0.9160173160173161
lutea,764,2966,0.9155844155844156
raine,1281,2710,0.9155844155844156
artel,991,3119,0.9151515151515152
later,1032,3078,0.9151515151515152
ratel,994,3116,0.9151515151515152
alert,920,3190,0.9151515151515152
aisle,1006,2863,0.9151515151515152
taler,1095,3015,0.9151515151515152
alter,981,3129,0.9151515151515152
ureal,794,3104,0.9147186147186147
alure,1078,2820,0.9147186147186147
urial,883,2607,0.9142857142857143
teary,1211,2670,0.9142857142857143
urali,780,2710,0.9142857142857143
miaou,748,2232,0.9138528138528138
noria,701,2909,0.9134199134199135
tyler,813,2806,0.9134199134199135
aures,842,3028,0.912987012987013
urate,1170,2751,0.912987012987013
ureas,675,3195,0.912987012987013
ursae,965,2905,0.912987012987013
urase,1201,2669,0.912987012987013
toise,1289,2369,0.9125541125541126
cosie,1139,2297,0.9121212121212121
noise,1177,2361,0.9121212121212121
eosin,720,2818,0.9121212121212121
teloi,645,3041,0.9116883116883117
potae,1117,2530,0.9116883116883117
toile,1280,2406,0.9116883116883117
earls,737,3322,0.9112554112554112
leant,1070,2752,0.9112554112554112
areic,773,3116,0.9112554112554112
arles,873,3186,0.9112554112554112
rales,876,3183,0.9112554112554112
reals,852,3207,0.9112554112554112
laten,950,2872,0.9112554112554112
erica,818,3071,0.9112554112554112
laers,754,3305,0.9112554112554112
ceria,823,3066,0.9112554112554112
laser,1001,3058,0.9112554112554112
seral,1086,2973,0.9112554112554112
lears,821,3238,0.9112554112554112
lares,908,3151,0.9112554112554112
rials,812,2839,0.9108225108225109
laris,748,2903,0.9108225108225109
riels,682,3116,0.9108225108225109
liras,649,3002,0.9108225108225109
riles,773,3025,0.9108225108225109
liers,651,3147,0.9108225108225109
yenta,587,3006,0.9108225108225109
leirs,780,3018,0.9108225108225109
paseo,901,2695,0.9108225108225109
lairs,843,2808,0.9108225108225109
slier,1361,2437,0.9108225108225109
psoae,985,2611,0.9108225108225109
siler,1208,2590,0.9108225108225109
rails,874,2777,0.9108225108225109
liars,781,2870,0.9108225108225109
arils,871,2780,0.9108225108225109
atoke,938,2566,0.9103896103896104
saine,1540,2232,0.9103896103896104
anise,1087,2685,0.9103896103896104
isnae,772,3000,0.9103896103896104
larnt,989,2615,0.90995670995671
olpae,883,2741,0.90995670995671
arsey,1169,2661,0.9095238095238095
tiler,992,2857,0.9095238095238095
litre,972,2877,0.9095238095238095
liter,929,2920,0.9095238095238095
sayer,1228,2602,0.9095238095238095
eyras,455,3375,0.9095238095238095
ayres,679,3151,0.9095238095238095
relit,870,2979,0.9095238095238095
resay,953,2877,0.9095238095238095
years,740,3090,0.9095238095238095
riley,1101,2496,0.9095238095238095
saice,1508,2162,0.9086580086580086
auris,682,2780,0.9086580086580086
renal,801,3189,0.9082251082251083
learn,915,3075,0.9082251082251083
neral,758,3232,0.9082251082251083
ocrea,625,3291,0.9077922077922078
amole,1006,2571,0.9077922077922078
paire,1284,2504,0.9073593073593074
perai,718,3070,0.9073593073593074
eorls,713,3112,0.9069264069264069
urena,722,3079,0.9069264069264069
roles,852,2973,0.9069264069264069
rayle,1024,2834,0.9069264069264069
layer,950,2908,0.9069264069264069
orles,774,3051,0.9069264069264069
loser,977,2848,0.9069264069264069
relay,985,2873,0.9069264069264069
leary,1149,2709,0.9069264069264069
early,1065,2793,0.9069264069264069
soler,1287,2538,0.9069264069264069
sorel,1281,2544,0.9069264069264069
lores,884,2941,0.9069264069264069
canoe,1194,2434,0.9064935064935065
yearn,834,2927,0.9064935064935065
yeast,978,2684,0.9064935064935065
renay,1010,2751,0.9064935064935065
